date,open,high,low,close
2024-11-06 14:00:00,1.39200,1.39360,1.39110,1.39285
2024-11-06 15:00:00,1.39290,1.39300,1.39040,1.39050
2024-11-06 16:00:00,1.39050,1.39175,1.38930,1.39170
2024-11-06 17:00:00,1.39170,1.39390,1.39160,1.39280
2024-11-06 18:00:00,1.39280,1.39290,1.39120,1.39285
2024-11-06 19:00:00,1.39275,1.39320,1.38870,1.38940
2024-11-06 20:00:00,1.38930,1.39065,1.38920,1.39035
2024-11-06 21:00:00,1.39040,1.39085,1.38850,1.38930
2024-11-06 22:00:00,1.38930,1.39235,1.38885,1.39175
2024-11-06 23:00:00,1.39180,1.39215,1.39030,1.39175
2024-11-07 00:00:00,1.39190,1.39470,1.39180,1.39380
2024-11-07 01:00:00,1.39380,1.39590,1.39370,1.39425
2024-11-07 02:00:00,1.39420,1.39480,1.39200,1.39220
2024-11-07 03:00:00,1.39210,1.39380,1.39155,1.39320
2024-11-07 04:00:00,1.39315,1.39440,1.39230,1.39405
2024-11-07 05:00:00,1.39415,1.39420,1.39250,1.39350
2024-11-07 06:00:00,1.39335,1.39395,1.39300,1.39330
2024-11-07 07:00:00,1.39330,1.39395,1.39310,1.39380
2024-11-07 08:00:00,1.39390,1.39435,1.39355,1.39400
2024-11-07 09:00:00,1.39390,1.39455,1.39375,1.39430
2024-11-07 10:00:00,1.39440,1.39480,1.39390,1.39470
2024-11-07 11:00:00,1.39485,1.39485,1.39385,1.39405
2024-11-07 12:00:00,1.39405,1.39430,1.39315,1.39315
2024-11-07 13:00:00,1.39310,1.39320,1.39000,1.39020
2024-11-07 14:00:00,1.39005,1.39030,1.38905,1.38925
2024-11-07 15:00:00,1.38915,1.38985,1.38900,1.38950
2024-11-07 16:00:00,1.38945,1.38965,1.38880,1.38915
2024-11-07 17:00:00,1.38915,1.38945,1.38855,1.38855
2024-11-07 18:00:00,1.38850,1.38890,1.38780,1.38880
2024-11-07 19:00:00,1.38870,1.38875,1.38705,1.38765
2024-11-07 20:00:00,1.38785,1.38930,1.38765,1.38915
2024-11-07 21:00:00,1.38910,1.38920,1.38830,1.38845
2024-11-07 22:00:00,1.38850,1.38945,1.38850,1.38930
2024-11-07 23:00:00,1.38930,1.38980,1.38880,1.38895
2024-11-08 00:00:00,1.38890,1.38940,1.38705,1.38815
2024-11-08 01:00:00,1.38800,1.38850,1.38570,1.38605
2024-11-08 02:00:00,1.38605,1.38710,1.38570,1.38650
2024-11-08 03:00:00,1.38650,1.38765,1.38630,1.38670
2024-11-08 04:00:00,1.38660,1.38700,1.38500,1.38500
2024-11-08 05:00:00,1.38500,1.38640,1.38500,1.38630
2024-11-08 06:00:00,1.38620,1.38780,1.38570,1.38635
2024-11-08 07:00:00,1.38620,1.38640,1.38420,1.38620
2024-11-08 08:00:00,1.38620,1.38650,1.38595,1.38615
2024-11-08 09:00:00,1.38615,1.38670,1.38580,1.38640
2024-11-08 10:00:00,1.38640,1.38690,1.38620,1.38690
2024-11-08 11:00:00,1.38685,1.38775,1.38670,1.38745
2024-11-08 12:00:00,1.38740,1.38785,1.38705,1.38755
2024-11-08 13:00:00,1.38745,1.38840,1.38715,1.38825
2024-11-08 14:00:00,1.38830,1.38850,1.38785,1.38835
2024-11-08 15:00:00,1.38835,1.38860,1.38785,1.38845
2024-11-08 16:00:00,1.38835,1.38860,1.38800,1.38810
2024-11-08 17:00:00,1.38810,1.38890,1.38795,1.38825
2024-11-08 18:00:00,1.38830,1.38905,1.38810,1.38865
2024-11-08 19:00:00,1.38860,1.39000,1.38845,1.38895
2024-11-08 20:00:00,1.38890,1.38905,1.38815,1.38875
2024-11-08 21:00:00,1.38880,1.38975,1.38870,1.38925
2024-11-08 22:00:00,1.38910,1.38995,1.38830,1.38980
2024-11-08 23:00:00,1.38970,1.39100,1.38970,1.39090
2024-11-09 00:00:00,1.39100,1.39200,1.39010,1.39150
2024-11-09 01:00:00,1.39155,1.39155,1.38970,1.39000
2024-11-09 02:00:00,1.39010,1.39060,1.38930,1.38980
2024-11-09 03:00:00,1.38980,1.39230,1.38970,1.39225
2024-11-09 04:00:00,1.39235,1.39280,1.39165,1.39170
2024-11-09 05:00:00,1.39185,1.39260,1.39125,1.39210
2024-11-09 06:00:00,1.39205,1.39240,1.39130,1.39130
2024-11-09 07:00:00,1.39135,1.39195,1.39120,1.39150
2024-11-09 08:00:00,1.39150,1.39155,1.39045,1.39090
2024-11-11 09:00:00,1.39130,1.39210,1.39090,1.39110
2024-11-11 10:00:00,1.39120,1.39130,1.39060,1.39110
2024-11-11 11:00:00,1.39110,1.39140,1.39050,1.39115
2024-11-11 12:00:00,1.39125,1.39160,1.39090,1.39140
2024-11-11 13:00:00,1.39145,1.39205,1.39120,1.39170
2024-11-11 14:00:00,1.39165,1.39210,1.39150,1.39205
2024-11-11 15:00:00,1.39205,1.39270,1.39190,1.39225
2024-11-11 16:00:00,1.39225,1.39230,1.39160,1.39175
2024-11-11 17:00:00,1.39185,1.39190,1.39110,1.39130
2024-11-11 18:00:00,1.39135,1.39250,1.39110,1.39225
2024-11-11 19:00:00,1.39235,1.39320,1.39195,1.39240
2024-11-11 20:00:00,1.39240,1.39350,1.39240,1.39265
2024-11-11 21:00:00,1.39275,1.39315,1.39225,1.39315
2024-11-11 22:00:00,1.39315,1.39380,1.39250,1.39275
2024-11-11 23:00:00,1.39260,1.39380,1.39260,1.39365
2024-11-12 00:00:00,1.39370,1.39510,1.39360,1.39450
2024-11-12 01:00:00,1.39460,1.39485,1.39340,1.39360
2024-11-12 02:00:00,1.39350,1.39370,1.39275,1.39290
2024-11-12 03:00:00,1.39305,1.39310,1.39150,1.39185
2024-11-12 04:00:00,1.39180,1.39260,1.39140,1.39245
2024-11-12 05:00:00,1.39250,1.39310,1.39240,1.39265
2024-11-12 06:00:00,1.39265,1.39300,1.39230,1.39260
2024-11-12 07:00:00,1.39255,1.39310,1.39240,1.39250
2024-11-12 08:00:00,1.39245,1.39285,1.39225,1.39245
2024-11-12 09:00:00,1.39250,1.39285,1.39230,1.39235
2024-11-12 10:00:00,1.39240,1.39280,1.39205,1.39210
2024-11-12 11:00:00,1.39210,1.39265,1.39170,1.39220
2024-11-12 12:00:00,1.39215,1.39330,1.39200,1.39330
2024-11-12 13:00:00,1.39325,1.39450,1.39325,1.39425
2024-11-12 14:00:00,1.39425,1.39470,1.39375,1.39455
2024-11-12 15:00:00,1.39465,1.39485,1.39430,1.39430
2024-11-12 16:00:00,1.39420,1.39490,1.39420,1.39470
2024-11-12 17:00:00,1.39485,1.39520,1.39455,1.39475
2024-11-12 18:00:00,1.39470,1.39585,1.39460,1.39515
2024-11-12 19:00:00,1.39555,1.39620,1.39500,1.39530
2024-11-12 20:00:00,1.39525,1.39615,1.39495,1.39605
2024-11-12 21:00:00,1.39615,1.39675,1.39580,1.39625
2024-11-12 22:00:00,1.39620,1.39630,1.39545,1.39580
2024-11-12 23:00:00,1.39580,1.39590,1.39380,1.39400
2024-11-13 00:00:00,1.39390,1.39420,1.39260,1.39265
2024-11-13 01:00:00,1.39265,1.39495,1.39250,1.39405
2024-11-13 02:00:00,1.39410,1.39480,1.39300,1.39410
2024-11-13 03:00:00,1.39405,1.39575,1.39390,1.39565
2024-11-13 04:00:00,1.39570,1.39600,1.39440,1.39535
2024-11-13 05:00:00,1.39540,1.39580,1.39480,1.39490
2024-11-13 06:00:00,1.39480,1.39495,1.39420,1.39465
2024-11-13 07:00:00,1.39465,1.39465,1.39390,1.39395
2024-11-13 08:00:00,1.39395,1.39480,1.39390,1.39440
2024-11-13 09:00:00,1.39460,1.39480,1.39415,1.39465
2024-11-13 10:00:00,1.39460,1.39520,1.39445,1.39455
2024-11-13 11:00:00,1.39455,1.39530,1.39450,1.39490
2024-11-13 12:00:00,1.39485,1.39500,1.39405,1.39455
2024-11-13 13:00:00,1.39460,1.39535,1.39445,1.39465
